vinho,tipo_vinho
Cabernet Sauvignon,tinto seco
Chardonnay,branco seco
Merlot,tinto suave
Riesling,branco doce
Sauvignon Blanc,branco seco
Malbec,tinto seco
Verdejo,branco seco
Pinot Grigio,branco seco
Alvarinho,branco seco
Syrah,tinto seco
Gewürztraminer,branco aromático
Pinot Noir,tinto leve
Chenin Blanc,branco seco
Vinho Verde,branco seco
Carmenere,tinto seco
Rosé,rosé seco
Zinfandel,tinto seco
Grenache,tinto leve
Albariño,branco seco
Tannat,tinto seco
Tempranillo,tinto seco
Cabernet Franc,tinto seco
Prosecco,espumante
Sangiovese,tinto seco
Espumante Brut,espumante
Sake,licoroso
Nebbiolo,tinto seco
Primitivo,tinto frutado
